index,c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date,tts_sysno
173,113266,124,206,20,,,,,,,,,9599.0,14216,,元代釋崇裕113266居廣利禪寺,,,,,156.0
174,113266,393,845,20,,,,,,,,,9599.0,14216,,元代釋崇裕113266居廬山圓通寺,,,,,157.0
175,113270,129,213,20,,,,,,,,,9599.0,14221,,元代釋惟則113270居海鹽海門寺,,,,,158.0
176,113271,388,837,20,,,,,,,,,9599.0,14223,,元代釋梵琦113271居海鹽永祚寺,,,,,159.0
177,113276,284,612,20,,,,,,,,,9599.0,14228,,元代釋淨真113276居杭州上天竺寺,,,,,160.0
178,113278,252,485,20,,,,,,,,,9599.0,14230,,元代釋淨澄113278居五台山普濟寺,,,,,161.0
179,113283,398,858,20,,,,,,,,,9599.0,14236,,元代釋祥邁113283居興平府道者山雲峯寺,,,,,162.0
180,113284,25,48,20,,,,,,,,,9599.0,14237,,元代釋紹大113284居義烏雲黃山寶林禪寺,,,,,163.0
181,113284,160,273,20,,,,,,,,,9599.0,14237,,元代釋紹大113284居建德路烏龍山景德禪寺,,,,,164.0
182,113288,84,154,20,,,,,,,,,9599.0,14241,,元代釋處林113288居大慈山定慧禪寺,,,,,165.0
183,113295,375,817,20,,,,,,,,,9599.0,14249,,元代釋善良113295居四明之延慶寺,,,,,166.0
184,113306,60,110,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9599.0,14260,,元代釋惠珏113306居臨州慈雲寺,,,,,167.0
185,113308,286,614,20,,,,,,,,,9599.0,14262,,元代釋惠滿113308居善衆寺,,,,,168.0
186,113311,327,719,20,,,,,,,,,9599.0,14265,,元代釋普仁113311居大都天慶寺,,,,,169.0
187,113312,167,293,20,,,,,,,,,9599.0,14266,,元代釋普仁113312居金華西峯淨土禪寺,,,,,170.0
188,113312,418,889,20,,,,,,,,,9599.0,14266,,元代釋普仁113312居智者禪寺,,,,,171.0
189,113313,46,78,20,,,,,,,,,9599.0,14267,,元代釋普明113313居吳中承天寺,,,,,172.0
190,113316,151,259,20,,,,,,,,,9599.0,14270,,元代釋普悅113316居居薦福寺,,,,,173.0
191,113318,258,512,20,,,,,,,,,9599.0,14272,,元代釋普喜113318居鎮江普照寺,,,,,174.0
192,113319,194,365,20,,,,,,,,,9599.0,14273,,元代釋普就113319居泰安靈巖寺,,,,,175.0
193,113331,350,776,20,,,,,,,,,9599.0,14285,,元代釋智就113331居杭州仙林寺; Temple ID 139441 Location: 府成安國坊; Founding: 宋绍兴中,,,,,176.0
194,113334,180,309,20,,,,,,,,,9599.0,14288,,元代釋智楫113334居絳州寂照院,,,,,177.0
195,113335,282,610,20,,,,,,,,,9599.0,14289,,元代釋智寬113335居嘉興三塔景德寺,,,,,178.0
196,113337,392,844,20,,,,,,,,,9599.0,14291,,元代釋雄辯113337居雲南玉案山寺,,,,,179.0
